id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,108227.0,2151895563905,1,2151895563905,9580596366.0,108252.0,107876.0,68.72,0.06354,1045637988.0,0.04862,19888406.0,19888406.0,21000000.0,111814.0,-3.21344,2025-05-22T18:41:28.492Z,67.81,159496.93158,2013-07-06T00:00:00.000Z,,2025-07-06T13:01:27.331Z
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2520.33,304226611989,2,304226611989,6156284959.0,2523.71,2490.9,1.86,0.07393,291044266.0,0.09576,120716941.9593282,120716941.9593282,,4878.26,-48.33509,2021-11-10T14:24:19.604Z,0.432979,581995.09899,2015-10-20T00:00:00.000Z,"{'times': 30.12763858660061, 'currency': 'btc', 'percentage': 3012.763858660061}",2025-07-06T13:01:26.973Z
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,1.0,158627969778,3,158627969778,21647539452.0,1.0,1.0,5.134e-05,0.00513,7686121.0,0.00485,158596591635.0418,158596591635.0418,,1.32,-24.40511,2018-07-24T00:00:00.000Z,0.572521,74.69969,2015-03-02T00:00:00.000Z,,2025-07-06T13:01:33.574Z
ripple,xrp,XRP,https://coin-images.coingecko.com/coins/images/44/large/xrp-symbol-white-128.png?1696501442,2.27,134189088384,4,227144701517,1703625974.0,2.28,2.2,0.05184,2.33352,2985962590.0,2.27583,59068187926.0,99985968138.0,100000000000.0,3.4,-33.12351,2018-01-07T00:00:00.000Z,0.00268621,84508.68208,2014-05-22T00:00:00.000Z,,2025-07-06T13:01:32.113Z
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,656.83,95781287968,5,95781287968,335179416.0,656.68,652.15,1.37,0.20831,199084603.0,0.20829,145887575.79,145887575.79,200000000.0,788.84,-16.75029,2024-12-04T10:35:25.220Z,0.0398177,1649191.85512,2017-10-19T00:00:00.000Z,,2025-07-06T13:01:24.693Z
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,148.79,79484601416,6,89849204757,1857095366.0,148.79,146.14,0.504025,0.33989,191225950.0,0.24116,534852554.1590234,604596057.5678333,,293.31,-49.43931,2025-01-19T11:15:27.957Z,0.500801,29512.65604,2020-05-11T19:35:23.449Z,,2025-07-06T13:01:32.501Z
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.9998,62245414778,7,62245406339,1293578140.0,0.999914,0.9998,-0.00010783502294931,-0.01078,66177275.0,0.10643,62254819473.81452,62254811032.72487,,1.17,-14.73903,2019-05-08T00:40:28.300Z,0.877647,13.92519,2023-03-11T08:02:13.981Z,,2025-07-06T13:01:33.961Z
tron,trx,TRON,https://coin-images.coingecko.com/coins/images/1094/large/tron-logo.png?1696502193,0.284615,26978366915,8,26978371972,270867810.0,0.284896,0.282892,0.0007797,0.2747,69274956.0,0.25744,94782267711.84412,94782285477.85263,,0.431288,-34.00587,2024-12-04T00:10:40.323Z,0.00180434,15674.45229,2017-11-12T00:00:00.000Z,"{'times': 148.79751694276072, 'currency': 'usd', 'percentage': 14879.751694276074}",2025-07-06T13:01:33.247Z
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.166775,24985198523,9,24992007092,483811592.0,0.166611,0.162423,0.00262045,1.59633,368043681.0,1.49507,149942686383.7051,149983546383.7052,,0.731578,-77.20389,2021-05-08T05:08:23.458Z,8.69e-05,191803.50522,2015-05-06T00:00:00.000Z,,2025-07-06T13:01:27.492Z
staked-ether,steth,Lido Staked Ether,https://coin-images.coingecko.com/coins/images/13442/large/steth_logo.png?1696513206,2519.98,22914736020,10,22914736020,3704122.0,2523.67,2489.92,2.71,0.10754,10769892.0,0.04702,9093075.091361169,9093075.091361169,,4829.57,-47.81724,2021-11-10T14:40:47.256Z,482.9,421.89331,2020-12-22T04:08:21.854Z,,2025-07-06T13:01:31.727Z
